,Year,SP.POP.GROW,AG.LND.AGRI.ZS,SP.POP.TOTL,Country Code,Country Name,Region,Income Group,Lending Type
0,1988,2.8389742319,2.2770398482,244404,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
1,1989,2.8453383807,2.2770398482,251458,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
2,1990,2.8474283422,2.0872865275,258721,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
3,1991,2.8535209992,2.0872865275,266210,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
4,1992,2.8448397107,2.0872865275,273892,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
5,1993,2.8041356866,2.0872865275,281681,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
6,1994,2.7221164774,2.0872865275,289454,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
7,1995,2.6119513797,1.8975332068,297114,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
8,1988,2.984111613,19.4302237102,17022465,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
9,1989,2.9320485083000003,20.458682088,17528961,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
10,1990,2.8172848306000002,20.5649064069,18029824,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
11,1991,2.6820551825,20.6802617562,18519937,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
12,1992,2.5730931386,20.7167858773,19002656,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
13,1993,2.506094511,20.9751940344,19484898,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
14,1994,2.4966936286,21.2780398722,19977500,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
15,1995,2.5213526486999998,21.2022523208,20487607,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD
16,1988,1.3975289488,37.2667836071,16878189,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
17,1989,1.345110115,37.3146228672,17106753,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
18,1990,1.2721863853,37.2986764471,17325773,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
19,1991,1.2045295038,37.3465157072,17535729,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
20,1992,1.1402304551,37.3784085473,17736821,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
21,1993,1.0543750686,36.9956944666,17924823,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
22,1994,0.9420241626,37.0435337267,18094477,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
23,1995,0.816986744,37.0913729868,18242912,LKA,Sri Lanka,South Asia,Lower middle income,IBRD
